Silicon - EC (10^-8/K) -   Equation Range: 0  to 600 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
105,-28.581410100504645,-28.081410100504645,-27.581410100504645
106,-27.322631006464484,-26.822631006464484,-26.322631006464484
107,-26.03241696298056,-25.53241696298056,-25.03241696298056
108,-24.71150428191423,-24.21150428191423,-23.71150428191423
109,-23.36062913391679,-22.86062913391679,-22.36062913391679
110,-21.98052752417128,-21.48052752417128,-20.98052752417128
111,-20.57193526490828,-20.07193526490828,-19.57193526490828
112,-19.135587944384035,-18.635587944384035,-18.135587944384035
113,-17.672220891989667,-17.172220891989667,-16.672220891989667
114,-16.182569139140362,-15.682569139140362,-15.182569139140362
115,-14.667367375572638,-14.167367375572638,-13.667367375572638
116,-13.127349900656641,-12.627349900656641,-12.127349900656641
117,-11.56325056930856,-11.06325056930856,-10.56325056930856
118,-9.975802732065835,-9.475802732065835,-8.975802732065835
119,-8.365739168864854,-7.865739168864854,-7.365739168864854
120,-6.733792016037188,-6.233792016037188,-5.733792016037188
121,-5.080692686016332,-4.580692686016332,-4.080692686016332
122,-3.4071717792219967,-2.9071717792219967,-2.4071717792219967
123,-1.713958987563804,-1.213958987563804,-0.7139589875638039
124,-0.0017829889801313503,0.49821701101986865,0.9982170110198687
125,1.72862866759858,2.22862866759858,2.72862866759858
126,3.4765496875000026,3.9765496875000026,4.476549687500002
127,5.241255166438947,5.741255166438947,6.241255166438947
128,7.022021738219498,7.522021738219498,8.022021738219497
129,8.818127734732663,9.318127734732663,9.818127734732663
130,10.628853359002104,11.128853359002104,11.628853359002104
131,12.453480872060275,12.953480872060275,13.453480872060275
132,14.29129479446779,14.79129479446779,15.29129479446779
133,16.141582123320756,16.641582123320756,17.141582123320756
134,18.003632565621768,18.503632565621768,19.003632565621768
135,19.876738788923465,20.376738788923465,20.876738788923465
136,21.760196690186238,22.260196690186238,22.760196690186238
137,23.653305683825128,24.153305683825128,24.653305683825128
138,25.55536900995575,26.05536900995575,26.55536900995575
139,27.465694063883106,27.965694063883106,28.465694063883106
140,29.383592747913248,29.883592747913248,30.383592747913248
141,31.308381846603215,31.808381846603215,32.30838184660321
142,33.23938342660162,33.73938342660162,34.23938342660162
143,35.17592526226912,35.67592526226912,36.17592526226912
144,37.117341288305845,37.617341288305845,38.117341288305845
145,39.062972080651484,39.562972080651484,40.062972080651484
146,41.012165366962165,41.512165366962165,42.012165366962165
147,42.96427656800804,43.46427656800804,43.96427656800804
148,44.91866937137578,45.41866937137578,45.91866937137578
149,46.874716338900704,47.374716338900704,47.874716338900704
150,48.831799549294395,49.331799549294395,49.831799549294395
151,50.78931127747611,51.28931127747611,51.78931127747611
152,52.74665471215898,53.24665471215898,53.74665471215898
153,54.70324471328484,55.20324471328484,55.70324471328484
154,56.65850861094728,57.15850861094728,57.65850861094728
155,58.6118870474873,59.1118870474873,59.6118870474873
156,60.56283486449528,61.06283486449528,61.56283486449528
157,62.510822036502084,63.010822036502084,63.510822036502084
158,64.45533465319794,64.95533465319794,65.45533465319794
159,66.39587595207375,66.89587595207375,67.39587595207375
160,68.3319674034414,68.8319674034414,69.3319674034414
161,70.2631498498452,70.7631498498452,71.2631498498452
162,72.188984701916,72.688984701916,73.188984701916
163,74.10905519270642,74.60905519270642,75.10905519270642
164,76.02296769242382,76.52296769242382,77.02296769242382
165,77.93035308512842,78.43035308512842,78.93035308512842
166,79.83086820822359,80.33086820822359,80.83086820822359
167,81.72419735415819,82.22419735415819,82.72419735415819
168,83.61005383134237,84.11005383134237,84.61005383134237
169,85.4881815774201,85.9881815774201,86.4881815774201
170,87.35835681232612,87.85835681232612,88.35835681232612
171,89.22038971072855,89.72038971072855,90.22038971072855
172,91.0741260636477,91.5741260636477,92.0741260636477
173,92.91944888810133,93.41944888810133,93.91944888810133
174,94.75627993339049,95.25627993339049,95.75627993339049
175,96.58458102610417,97.08458102610417,97.58458102610417
176,98.40435519693592,98.90435519693592,99.40435519693592
177,100.2156475447034,100.7156475447034,101.2156475447034
178,102.01854581822505,102.51854581822505,103.01854581822505
179,103.81318073169679,104.31318073169679,104.81318073169679
180,105.59972606251475,106.09972606251475,106.59972606251475
181,107.3783985901283,107.8783985901283,108.3783985901283
182,109.14945788846299,109.64945788846299,110.14945788846299
183,110.91320584621398,111.41320584621398,111.91320584621398
