Copper (OFHC) (UNS C10100/ C10200) - EC (10^-6/K) -   Equation Range: 4 to 300 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
75,7.292050077488344,7.675842186829836,8.059634296171328
76,7.421005303013779,7.811584529488188,8.202163755962598
77,7.548094461229695,7.9453625907681005,8.342630720306506
78,7.673307748207757,8.077166050745008,8.481024353282258
79,7.796639018985691,8.20698844103757,8.61733786308945
80,7.918085529477388,8.334826873134093,8.751568216790798
81,8.037647689123954,8.460681778025215,8.883715866926476
82,8.155328824442611,8.584556657308012,9.013784490173412
83,8.271134953475162,8.706457845763328,9.141780738051494
84,8.385074571017649,8.826394285281737,9.267713999545824
85,8.497158444569493,8.94437731007315,9.391596175576808
86,8.607399420741434,9.06042044288572,9.513441465030006
87,8.71581224200253,9.174539202107926,9.633266162213323
88,8.822413373395381,9.28675091936356,9.751088465331737
89,8.92722083905391,9.397074567425168,9.866928295796427
90,9.030254068111304,9.5055305980119,9.980807127912495
91,9.131533749769691,9.612140789231255,10.092747828692819
92,9.231081697125585,9.716928102237459,10.202774507349332
93,9.328920719452345,9.819916546791942,10.31091237413154
94,9.425074502578365,9.921131055345647,10.417187608112929
95,9.519567497008138,10.020597365271724,10.52162723353531
96,9.612424813459057,10.118341908904272,10.624259004349486
97,9.703672125436025,10.21439171098529,10.725111296534553
98,9.793335578546923,10.308774293207287,10.824213007867652
99,9.8814417061799,10.401517585452526,10.921593464725152
100,9.968017351253328,10.492649843424557,11.017282335595786
101,10.053089593698722,10.582199572314446,11.11130955093017
102,10.136685683379993,10.670195456189466,11.20370522899894
103,10.218832978138197,10.75666629277705,11.294499607415903
104,10.29955888671358,10.841640933382717,11.383722980051854
105,10.378890816160268,10.925148227537125,11.471405638913982
106,10.456856123659483,11.00721697227314,11.557577820886797
107,10.533482072299742,11.087875865578678,11.642269658857613
108,10.608795790728788,11.16715346392504,11.725511137121291
109,10.682824236251712,11.245078143422855,11.807332050593999
110,10.755594161473613,11.321678064709067,11.88776196794452
111,10.827132083841082,11.39698114088535,11.966830197929617
112,10.897464258300138,11.471015008736988,12.044565759173837
113,10.966616652595809,11.54380700273243,12.120997352869052
114,11.034614925136854,11.615384131723005,12.196153338309156
115,11.10148440531824,11.685773058229728,12.270061711141215
116,11.167250075934675,11.755000079931238,12.3427500839278
117,11.231936557788314,11.823091113461384,12.414245669134454
118,11.29556809614329,11.890071680150832,12.484575264158375
119,11.358168548984159,11.955966893667537,12.553765238350914
120,11.419761376925251,12.020801449395002,12.621841521864752
121,11.480369634678247,12.084599615450788,12.688829596223329
122,11.54001596391257,12.147385225171126,12.754754486429682
123,11.598722587417226,12.209181670965503,12.81964075451378
124,11.65651130450458,12.270011899478506,12.883512494452432
125,11.713403487487497,12.329898407881576,12.946393328275654
126,11.76942007923615,12.38886324130121,13.008306403366271
127,11.824581591646174,12.446927991206499,13.069274390766823
128,11.878908104927687,12.504113794660723,13.12931948439376
129,11.932419267791422,12.560441334517288,13.188463401243153
130,11.985134298251715,12.615930840264964,13.246727382278213
131,12.037071985143523,12.670602089624762,13.304132194106
132,12.088250690225578,12.724474410763767,13.360698131301955
133,12.138688350849288,12.777566685104514,13.41644501935974
134,12.18840248308626,12.829897350617117,13.471392218147972
135,12.23741018528743,12.881484405565717,13.525558625844003
136,12.285728142098549,12.932345412735314,13.57896268337208
137,12.333372628837681,12.982497504039666,13.63162237924165
138,12.380359516064896,13.03195738533147,13.683555254598044
139,12.426704274593746,13.080741341677628,13.73477840876151
140,12.472421980694483,13.128865242836298,13.785308504978113
141,12.5175273214344,13.176344548878317,13.835161776322234
142,12.562034600374574,13.223194316183763,13.884354031992952
143,12.605957743279705,13.26942920345232,13.932900663624936
144,12.649310303986674,13.31506347788071,13.980816651774745
145,12.692105470563074,13.360111021645341,14.028116572727608
146,12.734356071305047,13.40458533821584,14.074814605126633
147,12.776074580931727,13.448499558875502,14.120924536819278
148,12.81727312697206,13.491866449444274,14.166459771916488
149,12.857963495894824,13.534698416731393,14.211433337567962
150,12.898157139591866,13.57700751535986,14.255857891127853
151,12.937865181628482,13.61880545434577,14.299745727063058
152,12.97709842360688,13.660103603796715,14.343108783986551
153,13.015867351562623,13.700913001644867,14.385958651727112
154,13.054182142208683,13.741244360219667,14.428306578230652
155,13.09205266931735,13.781108072965633,14.470163476613916
