Molybdenum - LE (10^-5 m/m) - Equation Range: 20 to 500 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
87,-88.29797191641265,-84.9018960734737,-81.50582023053474
88,-88.05531938516684,-84.66857633189119,-81.28183327861554
89,-87.8095466812613,-84.4322564242897,-81.05496616731811
90,-87.56067750248,-84.192959137,-80.82524077152
91,-87.30873545879024,-83.95070717191369,-80.59267888503715
92,-87.05374407234254,-83.7055231464832,-80.35730222062386
93,-86.79572677747056,-83.4574295937217,-80.11913240997283
94,-86.53470692069133,-83.2064489622032,-79.87819100371506
95,-86.270707760705,-82.95260361606249,-79.63449947141999
96,-86.003752468395,-82.69591583499519,-79.38807920159537
97,-85.733864126828,-82.43640781425769,-79.13895150168739
98,-85.46106573125387,-82.17410166466718,-78.88713759808049
99,-85.18538018910577,-81.9090194126017,-78.63265863609762
100,-84.90683031999997,-81.64118299999997,-78.37553567999997
101,-84.62543885573616,-81.3706142843617,-78.11578971298722
102,-84.3412284402971,-81.0973350387472,-77.8534416371973
103,-84.0542216298488,-80.82136695177769,-77.58851227370658
104,-83.76444089274062,-80.5427316276352,-77.32102236252979
105,-83.471908609505,-80.2614505860625,-77.05099256262
106,-83.17664707285772,-79.9775452623632,-76.77844345186867
107,-82.87867848769775,-79.69103700740169,-76.50339552710562
108,-82.57802497110733,-79.40194708760319,-76.22586920409906
109,-82.27470855235184,-79.1102966849537,-75.94588481755555
110,-81.96875117287999,-78.81610689699998,-75.66346262111998
111,-81.66017468632369,-78.5193987368497,-75.3786227873757
112,-81.34900085849803,-78.22019313317118,-75.09138540784433
113,-81.03525136740144,-77.91851093019369,-74.80177049298594
114,-80.71894780321549,-77.61437288770719,-74.5097979721989
115,-80.40011166830499,-77.30779968106249,-74.21548769382
116,-80.07876437721806,-76.99881190117121,-73.91885942512435
117,-79.75492725668593,-76.6874300545057,-73.61993285232546
118,-79.42862154562319,-76.37367456309921,-73.31872758057524
119,-79.09986839512753,-76.0575657645457,-73.01526313396387
120,-78.76868886848001,-75.73912391200001,-72.70955895552001
121,-78.43510394114479,-75.41836917417768,-72.40163440721058
122,-78.0991345007694,-75.09532163535519,-72.09150876994099
123,-77.76080134718448,-74.7700012953697,-71.77920124355491
124,-77.42012519240397,-74.4424280696192,-71.46473094683442
125,-77.07712666062498,-74.11262178906249,-71.14811691749999
126,-76.73182628822796,-73.78060220021919,-70.82937811221042
127,-76.38424452377647,-73.44638896516969,-70.5085334065629
128,-76.0344017280174,-73.11000166155519,-70.18560159509298
129,-75.68231817388079,-72.77145978257768,-69.86060139127457
130,-75.32801404647999,-72.43078273699999,-69.53355142751998
131,-74.97150944311151,-72.08798984914569,-69.20447025517986
132,-74.61282437325515,-71.74310035889918,-68.87337634454322
133,-74.25197875857391,-71.39613342170568,-68.54028808483746
